metric_val,query_id,model
0.8396825396825397,query-54,marqo+t5
0.6672295262190898,query-55,marqo+t5
0.7041666666666666,query-56,marqo+t5
0.5947712418300654,query-57,marqo+t5
0.4451229530273648,query-58,marqo+t5
0.3894481152375889,query-59,marqo+t5
0.6217346085162178,query-60,marqo+t5
0.6550925925925926,query-61,marqo+t5
0.3601376401376401,query-62,marqo+t5
0.8555555555555555,query-63,marqo+t5
0.8055555555555555,query-64,marqo+t5
0.8449855699855701,query-65,marqo+t5
0.1804250208855472,query-66,marqo+t5
0.7403719737053069,query-67,marqo+t5
0.7329365079365079,query-68,marqo+t5
0.34108042368911934,query-69,marqo+t5
0.6322751322751322,query-70,marqo+t5
0.9098806273117825,query-71,marqo+t5
0.8852926702926703,query-72,marqo+t5
0.9571162964020107,query-73,marqo+t5
0.2515560176880817,query-74,marqo+t5
0.402198681026179,query-75,marqo+t5
0.5165689711178174,query-76,marqo+t5
0.4093984962406015,query-77,marqo+t5
0.09076494370612018,query-78,marqo+t5
0.5983112373737374,query-79,marqo+t5
0.6414833955891711,query-80,marqo+t5
0.3857771260997067,query-81,marqo+t5
0.7934624701593028,query-82,marqo+t5
0.37142857142857144,query-83,marqo+t5
0.7498958448958448,query-84,marqo+t5
0.6936101572039072,query-85,marqo+t5
0.7304273598778243,query-86,marqo+t5
0.40953497140788114,query-87,marqo+t5
0.630002696265672,query-88,marqo+t5
0.49424634505279663,query-89,marqo+t5
0.5086315251562928,query-90,marqo+t5
0.5194638694638694,query-91,marqo+t5
0.46530612244897956,query-92,marqo+t5
0.3626373626373626,query-93,marqo+t5
0.536548800661704,query-94,marqo+t5
0.5348065677013045,query-95,marqo+t5
0.2953042328042328,query-96,marqo+t5
0.33489381201051677,query-97,marqo+t5
0.6142857142857142,query-98,marqo+t5
0.7312918831814182,query-99,marqo+t5
0.5977350438318816,query-0,bm25+rm3
0.33409186652964934,query-1,bm25+rm3
0.4091990860077115,query-2,bm25+rm3
0.5226370611162576,query-3,bm25+rm3
0.48650332333196783,query-4,bm25+rm3
0.5215686274509805,query-5,bm25+rm3
0.8752154708037061,query-6,bm25+rm3
0.40834879406307983,query-7,bm25+rm3
0.683406177156177,query-8,bm25+rm3
0.0025252525252525255,query-9,bm25+rm3
0.4368740774078835,query-10,bm25+rm3
0.1607199529074529,query-11,bm25+rm3
0.5117604617604617,query-12,bm25+rm3
0.8892687051510582,query-13,bm25+rm3
0.41973588597889333,query-14,bm25+rm3
0.7836495031616982,query-15,bm25+rm3
0.8099162742019884,query-16,bm25+rm3
0.6227471401384445,query-17,bm25+rm3
0.516360225105655,query-18,bm25+rm3
0.27152459139301244,query-19,bm25+rm3
0.5106753150231411,query-20,bm25+rm3
0.7326016576016576,query-21,bm25+rm3
0.619802845789688,query-22,bm25+rm3
0.9094128973088249,query-23,bm25+rm3
0.863095238095238,query-24,bm25+rm3
0.3333333333333333,query-25,bm25+rm3
0.9119555444555445,query-26,bm25+rm3
0.5102248373383639,query-27,bm25+rm3
0.966923076923077,query-28,bm25+rm3
0.3114630467571644,query-29,bm25+rm3
0.4241615791615791,query-30,bm25+rm3
0.5335067863687615,query-31,bm25+rm3
0.5883438821847129,query-32,bm25+rm3
0.6353099842409052,query-33,bm25+rm3
0.570103982909754,query-34,bm25+rm3
0.6308097314010591,query-35,bm25+rm3
0.49919058214512757,query-36,bm25+rm3
0.4946338383838384,query-37,bm25+rm3
0.38009251597894256,query-38,bm25+rm3
0.5349718733647305,query-39,bm25+rm3
0.8855482933914307,query-40,bm25+rm3
0.9945054945054945,query-41,bm25+rm3
0.6146182427558947,query-42,bm25+rm3
0.8584519919078741,query-43,bm25+rm3
0.19273067563108398,query-44,bm25+rm3
0.2708333333333333,query-45,bm25+rm3
0.4237148519757215,query-46,bm25+rm3
0.7949972932593252,query-47,bm25+rm3
0.6541423746589933,query-48,bm25+rm3
